app_id, name, version, language, os_type, platform, legacy, path
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.7, ja_JP, windows, x86, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.7/uPCU/full/eea_nt32.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.7, ja_JP, windows, x64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.7/uPCU/full/eea_nt64.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.7, ja_JP, windows, arm64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.7/uPCU/full/eea_arm64.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.7, ja_JP, windows, x86, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.7/uPCU/2533274923565057/eea_nt32.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.7, ja_JP, windows, x64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.7/uPCU/2533274923565057/eea_nt64.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.7, ja_JP, windows, arm64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.7/uPCU/2533274923565057/eea_arm64.dup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.7, ja_JP, windows, arm64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.7/uPCU/2533274923565057/ees_arm64.dup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.7, ja_JP, windows, x64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.7/ees_nt64.msi,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.7, ja_JP, windows, x86, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.7/ees_nt32.msi,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.7, ja_JP, windows, arm64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.7/ees_arm64.msi,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.7, ja_JP, windows, x86, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.7/uPCU/2533274923565059/ees_nt32.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x86, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/2533274923565058/eea_nt32.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x86, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/eea_nt32.msi,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/ees_arm64.msi,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x86, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/eea_nt32.msi,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/ees_arm64.msi,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x86, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/eea_nt32.msi,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/ees_arm64.msi,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, x64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/uPCU/full/ees_nt64.fup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/uPCU/full/ees_arm64.fup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, x86, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/uPCU/full/ees_nt32.fup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, x86, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/uPCU/2533274923565058/ees_nt32.dup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/uPCU/2533274923565058/ees_arm64.dup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, x64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/uPCU/2533274923565058/ees_nt64.dup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x86, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/eea_nt32.msi,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/eea_nt64.msi,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/eea_arm64.msi,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x86, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/full/eea_nt32.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/full/eea_nt64.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/full/eea_arm64.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/eea_nt64.msi,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/full/eea_arm64.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x86, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/2533274923565058/eea_nt32.dup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/ees_arm64.msi,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, x64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/uPCU/2533274923565058/ees_nt64.dup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, x86, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/uPCU/2533274923565056/ees_nt32.dup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, x64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/uPCU/full/ees_nt64.fup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, x86, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/uPCU/2533274923565056/ees_nt32.dup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/uPCU/2533274923565056/ees_arm64.dup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, x64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/uPCU/2533274923565056/ees_nt64.dup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, x86, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/uPCU/2533274923565056/ees_nt32.dup,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/ees_arm64.msi,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, x86, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/ees_nt32.msi,
com.eset.apps.business.ees.windows, ESET Endpoint Security, 9.0.2032.6, multilang, windows, x64, 0,com/eset/apps/business/ees/windows/v9/9.0.2032.6/ees_nt64.msi,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, arm64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/full/eea_arm64.fup,
com.eset.apps.business.eea.windows, ESET Endpoint Antivirus, 9.0.2032.6, multilang, windows, x64, 0,com/eset/apps/business/eea/windows/v9/9.0.2032.6/uPCU/2533274923565058/eea_nt64.dup,
